pnum,dob,caption,ethnicity,weight,height,is_veg,drink
503,16/11/45,Can eat all day,1,77112,173,1,0
504,16/03/66,lonely married guy.. Is that possible ?,1,79380,178,1,0
505,03/05/80,Hey,1,49896,163,1,1
506,04/07/56,Selectively Seeking,1,88452,188,1,1
507,03/02/74,"Hi girls, looking for a fun relationship",8,61236,173,1,0
508,03/01/70,Nothing but fine wine and bedroom fun!!,1,90720,178,1,1
509,01/12/60,A Big Smile,9,77112,178,1,1
511,08/01/74,Always,8,74844,168,1,1
512,01/05/70,Looking for love in all the right places.,9,74844,183,1,1
513,14/03/74,Look'n to spice up my life and Howl at the Moon!,1,81648,183,1,0
514,06/05/73,Pstoneion and Fun,1,54432,168,1,1
515,21/05/64,Partner in Crime....Where the boundaries never end,1,77112,173,1,1
516,08/07/65,I want a boy I can train,1,52164,163,1,1
517,30/10/74,Well-educated professional seeking ...?,1,92988,188,1,1
518,07/01/62,"Hi, looking for fun and excitement.",1,90720,183,0,1
519,03/03/64,Looking for a grown-up Lisa Simpson type :-),1,77112,173,1,1
520,17/11/67,Let's Have Some Fun!,1,95256,188,1,1
521,07/07/68,i'm yours to discover,1,63504,173,1,1
522,05/07/72,looking for fun,3,58968,165,1,1
523,12/01/72,Baby Got Front AND Back!,2,99792,165,0,0
525,18/08/62,lets talk and see what happens,1,43092,163,1,0
526,27/12/55,Afternoon delight,1,81648,178,1,1
527,07/12/69,full of romance,1,61236,165,1,0
528,16/05/65,sugar n spice and everything nice,1,54432,168,1,1
529,01/05/68,sugar and spice and everything nice,1,63504,168,1,0
530,01/12/60,you could be the one,1,68040,178,1,0
531,04/06/67,lets get it on,1,65772,165,1,1
532,06/03/70,hot and spicey,1,58968,168,1,0
533,29/06/71,Looking for......,4,54432,168,0,1
534,19/04/66,whats up guys,1,63504,168,1,1
535,30/03/79,lets get lucky together,9,49896,173,1,1
536,02/07/69,very pstoneionate,1,65772,168,1,1
537,09/05/69,lets tango,2,63504,168,1,1
538,23/11/64,inveterate troublemaker seeks conspirator,1,68040,173,1,0
539,06/09/71,greetings,1,58968,165,1,1
541,21/09/72,the right time in the right place....,6,65772,173,1,1
542,29/06/68,"He was cute and hung, but not all up there!!! Are u?",1,49896,173,0,1
543,28/02/59,"hello, is it me your looking for",1,72576,168,0,1
544,22/07/69,dont care to be lonely anymore,1,56700,168,1,1
545,05/12/76,topless on the beach......anyone looking..hope so:),3,52164,157,1,0
546,09/05/60,got a few tricks up your sleeve?,8,58968,168,1,1
547,06/01/62,"I'm alittle shy,but tell me a story:)",2,45360,178,0,1
548,29/07/69,lets make a wish......,1,52164,178,0,1
549,24/10/80,I don't think it's not clstoney not to wear panties?????,1,54432,165,1,0
550,27/08/79,"show me your photo, well take it from there....",6,54432,168,1,0
551,27/04/66,we're bound to capture our intense pstoneionate heat....,1,52164,165,1,0
552,24/04/71,open to suggestions??????,7,54432,178,1,1
553,28/07/79,"long golden curly hair,gently brushing up against smooth tanned.",1,45360,173,0,1
554,08/05/76,Let Me Light Your Fire,1,79380,178,1,0
555,02/01/56,live for today,1,86184,178,0,1
556,14/11/59,Its not the destination that matters,1,83916,183,1,1
557,06/05/61,Looking for someone to share the pstoneion,1,83916,178,1,1
558,15/01/59,Would you like to share a special adventure together,1,90720,188,1,1
559,17/03/66,Hi 36 attractive black male slim muscular sincere and discreet,2,81648,183,1,1
560,10/08/61,IM Intelligent/Immaginative/Attractive/Witty/Giving RU?,1,83916,183,1,0
561,10/07/75,Attached but lonley,8,106596,178,1,0
562,01/10/60,just some fun no strings,1,65772,183,1,1
563,23/10/72,A Prince with a bit of a sting,1,81648,173,1,1
564,28/06/55,"Exciting, tender, real sweet, just the guy you want to meet!",1,83916,178,1,1
565,01/11/72,More than a handful!,2,79380,178,1,0
566,27/07/67,I want to know you,9,58968,165,1,1
567,20/10/57,looking for something casual,1,61236,168,1,1
568,14/09/54,I am sweet...that's all you need,1,61236,173,1,1
569,16/06/74,No time to waste!,8,83916,183,1,1
570,12/11/80,Lovely in Lace,3,45360,157,1,1
571,05/05/70,I am ready4u,1,47628,157,1,1
572,22/11/53,I am new at this,1,61236,163,1,1
573,04/04/77,Looking for some discreet fun!,1,88452,178,1,1
574,11/03/73,do you want to play?,1,52164,165,1,1
575,26/04/68,lets take a risk,1,54432,168,1,1
576,21/06/59,lets connect,1,58968,165,1,0
577,07/10/52,looking to meet,1,63504,163,1,1
578,22/01/65,I'll show you a good time,1,49896,157,1,1
579,20/09/56,I am looking for something I miss in my life,1,68040,173,1,1
580,02/09/71,"I am just looking for a good time , can you give it to me!!!!!?",1,90720,188,1,0
582,09/09/71,hmmmmmmmmmmmmmm,6,74844,163,1,1
583,23/06/67,Looking for love in all the wrong places,1,86184,178,1,0
584,06/07/67,It's ALL about Fun...and then some!!!;),1,97524,183,1,1
585,04/04/64,Looking to explore the joy of swim,1,68040,183,1,0
586,07/05/64,A tall drink of water for a lovely woman,1,111132,198,1,0
587,01/08/69,looking to meet today all alone in the office,1,81648,183,0,1
588,06/05/56,lets get our groove on,1,68040,165,1,1
589,08/07/60,live life,2,63504,168,1,0
590,06/03/68,join me for a joy ride,1,61236,165,1,1
591,12/06/65,I'm looking to fill the void,1,58968,168,1,1
592,02/04/70,lets take advantage of what life is offering,3,61236,165,1,0
593,04/09/58,who's man enough for me?,1,65772,168,1,1
594,03/02/68,meet your match,1,58968,165,1,0
595,25/01/66,"Hi Ladies, 35m looking for a friend",1,102060,183,1,0
596,05/10/60,confidence is important,1,63504,173,1,1
597,1903-02-02,1,3,38556,152,0,0
599,05/05/57,Married man looking for some spice.,1,95256,188,1,1
600,26/08/63,"\wanna talk\""""",1,70308,163,1,0
601,03/08/64,lets go for it,1,65772,165,1,1
602,15/03/71,I can make your dreams come true,1,52164,163,1,1
603,05/11/70,bring it on guys,6,61236,165,1,1
604,17/08/70,fun-friend-lover,1,54432,168,1,1
605,21/05/70,"\mmmmmmmmmmm\""""",1,54432,163,1,0
606,06/06/76,burtsbeez at hotm ail dot com,2,74844,188,1,1
607,11/12/53,Sensuous and independent. . . great sense of humour and clstone!,1,95256,183,1,1
608,24/09/76,let me cast a spell on you,1,45360,165,0,0
609,01/06/72,one taste and your hooked,8,63504,168,1,1
610,18/12/68,the adventure begins or does it???,1,56700,168,0,1
611,17/05/65,wanna give it a try??,1,65772,178,1,1
612,20/07/74,lookin for a little TLC,8,56700,163,1,1
613,01/02/70,lets make a night to remember,5,58968,173,0,0
614,18/10/72,you want it - i got it,2,61236,168,0,1
615,17/07/64,live life to the fullest and enjoy!,1,81648,173,0,1
616,04/09/70,go with the flow,3,61236,165,1,0
617,28/01/66,I've got female,1,63504,168,0,1
618,18/04/67,have you got what it takes,8,72576,173,1,1
619,06/02/76,tempt me,1,63504,173,1,0
620,02/04/68,under the covers u will find me...,1,47628,165,0,1
621,28/10/80,"looking for a good lookin, healthy,clean and full of stamina MAN",5,61236,178,0,1
622,18/05/74,as she bent over old rover drove her...,4,52164,165,0,1
623,20/01/53,"it's almost impossible to find the \rite man\"""," are u out there??""",1,52164,163,1
624,28/03/79,i pick door number 2........,2,77112,183,1,1
625,23/07/74,reveal to me your swimuall ultimate and pstoneionate desires...,7,61236,178,0,1
626,04/06/67,I am capture your imagination,1,70308,168,1,1
627,30/04/66,Lets party,1,56700,163,1,1
628,14/05/55,Right Here - Right Now!,1,56700,163,1,1
629,11/02/60,do you need a little spice in your life?,1,56700,165,1,1
630,14/05/55,Right here-Right Now!,1,56700,163,1,1
631,14/07/62,can you make me laugh?,1,61236,173,1,1
632,21/05/64,"\melt in your mouth\""""",1,58968,163,1,0
633,28/02/62,There is no better time than now,1,95256,168,1,1
634,08/08/64,Do you feel like being bad?,1,58968,168,1,1
635,19/03/68,.. what a girl needs.,9,65772,168,1,1
636,29/06/53,Looking for romance in great places!,1,61236,178,0,1
638,31/10/61,Jus-friends...,8,68040,173,1,0
639,29/03/38,"A handsome prince, maybe...A Horny Toad, for sure.",1,72576,173,1,1
640,18/12/55,Well endowed guy seeks attached lady,1,86184,188,1,1
641,05/05/67,I'm looking for fun,1,68040,178,1,1
642,02/11/71,cowgirl interested in riding...,1,56700,173,1,1
643,07/06/66,Get an erotic mstoneage today!,9,65772,178,1,0
644,05/09/65,all your dreams fullfilled 4 1 night only,1,83916,183,1,0
645,10/12/72,Looking for intimacy? Inter-Racial Fantasy?,3,83916,183,1,1
646,16/07/62,"romantic, intimate, fun loving",1,74844,173,1,1
647,19/04/58,Love to Orally Please a Woman,1,108864,142,0,1
648,08/06/61,always ready,1,115668,193,1,1
649,20/09/68,Ultimate Male For Ultimate Female,1,95256,188,1,1
650,19/12/51,Toronto lawyer seeks discrete meeting,1,102060,178,0,1
651,12/10/69,"Fun, laughter, great times allways!",1,90720,183,1,1
652,01/12/65,Hi,8,97524,183,1,0
653,29/11/71,a horny beast,9,68040,178,1,1
654,17/08/71,Hi There! I am a separated man and want to meet nice ladies occa,2,97524,188,1,1
655,05/04/70,"Having computer problems, please bare with me.",1,56700,168,1,1
656,21/07/63,Let's Do Something Daring...,3,74844,178,1,1
657,17/02/52,TLC,1,97524,188,1,1
658,09/03/65,"HI there, single available guy..looking for dynamic ladies.",1,90720,188,1,1
659,03/11/63,"Hi, Just looking for a mischievous female",1,77112,178,1,0
660,02/04/75,"Pampering, mstoneage; I want to spoil you",1,68040,183,1,0
661,09/01/50,a real teddy bear,1,117936,173,1,1
662,10/02/52,Dyin to meetcha,1,95256,178,0,1
663,19/12/73,looking for fun?,4,65772,168,1,1
664,05/02/54,The time to capture life's essence may be upon you right now,1,72576,163,1,1
665,06/04/72,Looking for great times!,1,61236,168,1,1
666,03/03/73,Wouldn't you like to know?,1,79380,188,1,1
667,19/03/75,Hello to all the beautiful women,1,90720,193,1,1
668,19/04/69,It's all about adventure.,1,72576,173,1,0
669,04/07/73,no strings discreet 1 on 1 meetings,2,79380,183,1,1
670,15/01/67,can make me C**,1,58968,168,0,1
671,17/07/45,let me please you,1,88452,183,1,1
672,23/06/64,How About A Walk On The Wildside?????,4,68040,178,1,1
673,25/03/62,Looking to create some sparks!,1,88452,183,1,1
674,22/08/63,Looking for a FWB,1,79380,173,1,1
675,03/03/63,Greetings lovely ladies,1,74844,173,1,0
676,01/01/68,wanted one fun woman,1,83916,183,0,0
677,05/07/68,Romance,1,79380,178,1,1
678,02/10/73,"Fun, openminded, and always a good time!",1,86184,183,1,0
679,10/05/54,Are you ready for adventure?,1,72576,173,1,0
680,15/04/43,"Active, Fun & Intelligent",1,86184,188,1,1
681,23/04/51,who wants to date a doc,1,88452,188,1,0
682,23/05/52,Whats so special about wining the Nobel Peace Prize?,1,83916,173,1,1
683,25/03/75,Looking for crazy fun,1,79380,183,1,0
685,25/01/66,Two strong & fit men to play with all night! :),1,72576,178,1,1
686,21/11/57,BLUE EYES BROWN HAIR AND LOTS OF FUN,1,79380,178,1,1
687,02/08/57,meet me?,1,52164,163,1,0
688,01/08/69,scarborough guy seeks discrete fun today,1,79380,183,0,1
689,19/03/72,Fun and irreverent,1,65772,168,1,1
690,06/01/65,Married and want some fun,1,102060,183,1,0
691,08/03/61,take the chance,1,65772,165,1,0
692,28/10/62,Looking to meet interesting women,1,83916,188,1,0
693,06/07/67,Lets put all the spices together. I'm Pepper. lol,2,63504,168,1,1
694,06/05/56,you can have it all,1,68040,165,1,1
695,03/06/70,be that one,3,61236,165,1,0
696,02/06/63,lets keep it real,1,65772,168,1,0
697,06/12/71,satisfaction is everything,1,65772,173,1,1
698,06/02/68,lets go guys,1,68040,168,1,1
699,06/06/70,hotter than hot,4,63504,165,1,1
700,06/12/69,i'm right here,4,61236,168,1,1
701,14/06/65,at your service,1,65772,165,1,1
702,28/08/77,ready and waiting,1,63504,168,1,1
703,31/03/63,the best of both worlds - tamed and wild,3,43092,163,0,1
704,16/01/75,can i be yours??,1,54432,165,1,0
705,06/12/71,curious...,4,58968,168,0,0
706,26/08/61,"ready, willing, and able",1,70308,173,0,1
707,05/02/73,santa was right...I am naughty,8,56700,168,1,1
708,19/10/71,can you make me....,2,68040,178,1,1
709,27/07/65,who's out there??,9,58968,168,1,1
710,16/06/73,sure...why not,1,61236,165,0,1
711,02/09/69,i know its possible to be happier than this - any ideas???,2,54432,165,1,0
712,02/06/56,Handsome..sophisticated...creative,1,81648,183,1,1
713,04/07/69,lets meet right now for fun,1,81648,183,0,1
714,26/08/74,Infinit stamina,1,77112,178,1,1
715,12/05/74,Whatz uppp,1,72576,173,0,1
716,29/07/80,Join me in a Romantic Adventure!!,1,111132,183,1,1
717,19/02/69,Tall Attractive Business Professional Looking For Fun,1,95256,188,1,1
718,15/09/64,"need an intelligent,hot god..to start me with this adventour?",1,74844,173,0,1
719,08/11/73,it's not everytime u run into a women like me........,6,52164,173,1,0
720,18/10/75,here we go You may never know!!!,1,74844,183,0,1
721,06/06/78,"treat me like your slave...punish me sir,punish me....",4,70308,178,1,1
722,02/08/69,looking for some hot discrete fun,1,79380,183,0,1
723,26/07/56,lot of hot lovin...wild and free..call me..ok,5,65772,178,0,1
724,25/06/70,31 female married looking for a handsome male to spend time with,5,136080,173,1,1
725,28/08/63,dejavu to my emotional rescue.........,2,52164,168,1,0
726,04/02/69,"my imagination runs wild and free,help me make them dejavu true.",5,54432,173,1,0
727,30/05/71,all alone out here...(most of the time)..quick give me a call.,1,56700,168,0,1
728,24/04/78,is that u i see...peeking through my bedroom door?,9,47628,173,0,1
729,20/09/65,"as i slide the bar of soap over my footballs,rubbing slowly as m",1,61236,178,1,0
730,03/06/70,let's try to make this last....,8,54432,163,0,0
731,24/05/67,it's all in the way u touch me.........,3,43092,165,1,1
732,01/08/69,married with private day time office,1,79380,183,0,1
733,01/08/70,"Save a Tree, Eat a Beaver!",1,70308,178,1,0
734,06/05/74,"all this, and all for u...",1,54432,183,1,0
735,23/04/76,"\an addition to my collection..an underwater fantasy!dejavu and """,1,52164,173,1,1
736,23/02/71,"have a love nest,lets sneak out...",1,49896,173,0,1
737,21/06/68,Erotic Orally gifted and Discreet,1,81648,183,1,1
738,10/10/59,Interested in a decent guy? I Will be in Halifax in December.,1,83916,183,1,1
739,15/07/66,ready to release my pstoneion you think you can handle me,4,81648,178,1,1
740,28/12/50,Cute and funny and love women!,1,81648,183,1,0
741,04/07/69,hi,1,77112,183,1,0
742,02/01/66,Looking for swimy woman who wants to be spoiled,1,86184,183,1,0
743,15/11/72,Willing to pamper...,8,79380,178,1,0
744,07/05/75,luv to please,1,88452,183,1,1
745,29/06/53,Seeks discrete meeting,1,68040,178,0,0
746,15/10/64,A Romantic. Looking for someone to a share some excitement.,1,92988,183,1,1
747,09/09/67,Hi I like You!,8,83916,178,1,1
748,18/12/69,"Great guy, maybe yours",1,95256,183,1,1
749,25/07/64,brent,1,136080,178,0,1
750,08/03/56,"\PHOTO AVAILABLE UPON REQUEST\""""",1,88452,173,1,1
751,21/10/81,At All Hours of the Day!,6,68040,173,1,1
752,13/08/59,Always dreamt of rocking on a live Rocking Horse? Well.....???,8,77112,178,1,0
753,16/05/57,Are you looking for someone compasionate,1,90720,188,1,1
754,08/01/59,"call me a hot male, let's just get it together.",1,79380,183,1,1
755,14/12/71,Do you believe in fate?,1,99792,193,1,1
756,02/08/63,enjoy life while it last,1,70308,165,1,1
757,07/09/58,i'm ready to have fun,1,65772,168,1,1
758,22/07/78,what's a guy like you doing in a place like this????,1,45360,178,1,0
759,04/08/67,"like to get to know u better,let's swap our deepest fantasy's...",2,61236,188,1,0
760,29/04/61,"interested in meeting,openminded,but very discreet...",3,61236,178,1,0
761,21/07/73,take a look at the profile and tell me what u think??,5,49896,163,1,1
762,03/03/69,seeking fulfilment,1,70308,165,1,1
763,06/10/83,love to travel with a companion that can show me the world..,6,52164,165,1,0
764,05/11/66,lets express our hidden talents,3,61236,173,1,0
765,04/03/70,here's the whole package,2,63504,168,1,1
766,27/11/62,I'm an attatched women seeking a romantic affair....,7,54432,188,1,0
767,06/09/67,"hot,hot,hot",6,61236,168,1,0
768,07/03/59,feeling good mutually is the goal,1,65772,173,1,1
769,22/10/75,"very demanding and persistant,my goal is to challenge my limits.",8,68040,178,0,0
770,03/09/56,can you be my dream man?,1,70308,165,1,0
771,15/02/56,"so many ideas, and so many places, where do i start???",9,45360,163,1,1
772,06/01/68,talk to me lets see how the steam rises,6,58968,168,1,1
773,03/08/62,very creative and pstoneionate,1,63504,173,1,1
774,03/03/81,i bet you can't keep your hands off!!!!,4,77112,188,1,0
775,19/04/60,"\a diamond in the ruff\""""",3,47628,173,1,1
776,28/06/71,Looking for discreet good times.,1,74844,178,1,1
777,01/06/61,Pstoneionate and Romantic Affair,1,74844,178,1,1
778,09/09/61,a time and a place...,1,61236,165,1,1
779,17/04/63,the one you'll never forget,1,58968,173,0,1
780,18/07/73,home alone...,9,52164,168,1,0
781,16/10/63,you only live once,1,68040,168,0,0
782,10/12/68,"friends, fun, and then....",1,58968,173,0,0
783,09/02/66,attention starved......,2,63504,173,1,0
784,21/11/72,"not forever, just for now",1,49896,165,0,1
785,29/08/65,exploring all possibilities,3,49896,165,1,1
786,16/03/78,lets chat...and see where it goes,4,61236,168,1,1
787,25/01/67,capture the mind and the body will follow,1,65772,178,1,1
788,02/04/67,Need some TLC!,1,70308,168,1,1
789,15/02/61,Hello!,2,95256,178,1,1
790,29/08/64,"Looking for that confident, adventerous swimy lady.",1,81648,178,1,1
791,05/02/71,Hoping for a little on-the-road excitement....,1,83916,183,1,0
792,01/01/60,love life,1,81648,173,1,0
793,04/01/76,Want to put you life into high gear??,6,70308,183,1,1
794,16/06/64,swiming,1,92988,188,1,0
795,10/03/75,TravelYPAPA,2,102060,178,1,1
796,01/04/67,LOOKING FOR SOME HAPPINESS,1,72576,165,1,1
797,28/10/59,Can you intice me:),3,74844,173,0,1
798,09/01/59,"I'm a Hot one, read the profile!",1,79380,183,1,1
799,01/08/67,Attached Discret Male Looking For Hot Pstonesionate Fun,1,97524,193,1,1
800,04/07/67,lets explore the possibilities,1,61236,168,1,1
801,07/02/69,pleasure for both,1,63504,165,1,0
802,05/08/75,now what's missing???,2,61236,168,1,1
803,06/11/70,looking to share excitement and pstoneion,1,63504,173,1,0
804,04/05/60,just what the doctor ordered,2,61236,168,1,1
805,21/07/71,we all need that warmth,8,58968,165,1,1
806,06/10/67,someone who wants more,1,68040,168,1,1
807,05/01/64,looking for ????,1,49896,163,0,0
808,03/08/68,you have my undivided attention,6,61236,168,1,0
809,07/01/71,sweet and wild,3,58968,165,1,1
810,23/06/68,time to start having fun,1,58968,168,1,1
811,03/09/61,you'll hate the fact that you like it so much,1,65772,165,1,1
812,18/01/63,TLC please,1,65772,173,1,0
813,02/06/69,"shaken,stirred and ready to serve",4,61236,168,1,1
814,24/05/74,who can captivate my mind and body,1,63504,173,1,1
815,07/09/68,i'll try anything once,1,65772,165,1,1
816,18/11/61,looking for a true gentleman,1,65772,168,0,0
817,05/02/76,sweet words and soft touches,1,49896,165,0,1
818,29/03/61,"\SENSUALITY\"" is number \""1\"" in my books...then dejavus 69 (wink)""",1,52164,173,1,1
819,16/10/65,could there be....,1,63504,168,1,1
820,02/05/71,excellent student looking for extraordinary teacher,3,56700,163,1,0
821,25/08/66,it only dejavus once a year...,2,54432,165,1,0
822,27/04/55,have u ever tried sunbathing in the NUDE???,3,58968,173,1,0
823,13/06/77,Looking For A Sugar Daddy - No Game Players please!!,1,49896,165,1,1
824,22/11/69,sweet surrender........rescue me!!!,7,54432,163,1,1
825,10/04/70,I'm the type of women who enjoy's hot summer nights....,8,49896,178,1,1
826,16/08/76,they say i look like a smaller version of Minnie Driver...,8,52164,163,0,1
827,22/06/53,I'm just full of suprises!!!,1,61236,173,1,0
828,19/04/74,discreet & intimate,1,83916,183,1,0
829,12/08/79,garenteed satisfaction........,1,70308,183,1,0
831,06/04/76,My fantasy is to be your call girl (I'm NOT a hooker!),1,47628,163,1,1
832,28/08/56,"take me out to dinner,dance and a show then we'll take",2,61236,173,0,0
833,28/04/69,love a man who is pstoneionate and giving...,7,77112,178,1,0
834,19/05/51,"Pstoneion, romance, friendship, pleasure",1,77112,188,1,1
835,06/01/73,Hi ladies,2,74844,178,1,1
836,31/07/70,very tender,6,68040,168,1,1
837,28/01/72,live it up,1,106596,183,0,0
838,01/12/74,hello ladies!!!,1,61236,168,1,1
839,05/08/76,Just looking for casual swim,3,68040,178,1,1
840,28/03/54,free spirit,1,92988,173,1,1
841,01/11/60,living life to the fullest,1,102060,188,1,0
842,05/05/71,looking for a man to keep up with me,3,61236,165,1,1
843,06/02/68,lets match imagination,1,63504,173,1,1
844,07/12/67,help me and i'll help you,1,65772,168,1,1
845,04/08/72,i make dreams come true,1,61236,168,1,0
846,06/09/60,looking for mutually satisfying fun,6,65772,165,1,0
847,16/03/55,let's explore my most intense swimuall appetites......,9,61236,173,0,0
848,06/12/65,reality is what you make it,1,63504,173,1,1
849,28/07/56,captivating the essence of erotic sensuall pleasures.....,8,45360,163,1,0
850,08/07/70,perfect combination,4,63504,168,1,1
851,02/07/61,is it for you??,1,63504,168,1,1
852,02/08/69,lets share pleasure,2,65772,168,1,1
853,17/08/76,"creating pstoneion, i believe has to be the most desirable fanta",7,49896,178,1,1
854,29/11/58,"If you cant believe Im here, neither can I!!",1,61236,165,1,1
855,06/07/71,"kind, caring and real",9,68040,173,1,0
856,11/09/69,I Travel,1,90720,183,1,0
857,17/01/74,here i am !!,1,54432,165,0,0
858,24/04/68,look deep into my eye's...............,1,49896,168,1,1
859,06/07/71,"kind, caring and real",9,68040,173,1,0
860,08/01/59,Let my hands do the talking...,1,79380,183,1,1
861,07/03/68,let me surprise you,1,63504,168,1,0
862,04/05/67,lets explore,8,63504,168,1,1
863,01/11/65,where's my pot of gold???,1,61236,173,1,1
864,03/09/70,what are you waiting for??,3,52164,168,1,0
865,24/07/74,still waiting for that magic kiss,1,56700,168,0,1
866,06/07/80,illusions of erotica...let the pstoneion begin.....,3,63504,183,1,1
867,26/08/52,my inner beauty reveals my most physical atractions.in a man....,7,65772,173,1,1
868,10/02/65,well..........,9,68040,165,1,0
869,22/01/77,"\like really bad to the Bone!!!!!""",1,52164,157,1,0
870,07/06/62,are you up for it???,2,52164,163,1,1
871,16/01/60,nice to look at - nicer to touch,1,58968,168,0,1
872,01/04/78,make me melt,1,63504,173,0,1
873,10/10/77,"let's face it, we all need it...it's how creative and where..",1,77112,183,1,0
874,21/10/80,just a groovy kinda girl..looking for some.......,8,54432,163,1,0
875,30/06/64,i am the creature of the night.....do u dare...,8,61236,157,1,0
876,20/04/43,"I,m a wey openminded person!!!",1,92988,193,1,1
877,19/01/68,Looking for an enjoyable and discreet encounter,1,79380,183,1,1
878,14/06/75,Wanting to re-live my glory years with an exciting man.,1,52164,163,1,1
880,31/01/62,You will tell me when to stop,8,86184,173,1,1
881,09/10/66,"\you can't get better than this\""""",1,52164,163,1,1
882,04/10/55,I want you to want me,1,92988,183,1,1
883,01/06/65,looking for fun in T.O.,1,106596,183,1,1
884,20/10/73,"\ARE YOU UP FOR IT\""""",2,90720,183,1,1
885,20/03/66,YOUR PERSONAL MASSEUSE,1,83916,178,1,1
886,14/02/68,"I'm fit, fun, open-minded and willing!",6,72576,178,1,1
887,23/05/63,dude,1,70308,178,1,1
888,26/08/59,used but never broken,1,90720,183,1,1
889,27/04/62,R U Ready to Spend some $$$ on me? (not for swim),1,56700,173,1,1
890,11/01/56,big and in need of female adult friends,1,113400,198,0,0
891,11/11/61,I'm a free spirit,1,54432,163,1,0
892,04/07/72,open minded and ready to try something new,1,56700,165,0,1
893,07/12/57,seeking discreet fun encounters with older woman,1,79380,168,1,1
894,22/11/64,can you be my sweet man?,1,63504,165,1,1
895,27/04/66,i need excitement,1,63504,168,1,0
896,26/05/70,looking for more,1,61236,168,1,1
897,29/07/69,"I'm willing, are you?",1,65772,173,1,0
898,29/07/75,hey there swimy,1,81648,178,0,1
899,22/09/69,"\rock my world\""""",1,52164,157,1,1
900,09/07/58,bored with the same thing looking for spice,2,63504,168,1,1
901,24/09/67,let the good times roll,3,65772,168,1,1
902,07/04/72,capture my mind and only then the adventure begins,1,61236,168,1,1
903,20/06/70,my well is dry,1,61236,165,1,1
904,07/10/63,lets find pleasure together,8,61236,165,1,0
905,06/09/70,you have to lick it in order to stick it,4,63504,173,1,1
906,03/02/61,hungry for touch,3,56700,165,1,1
907,07/11/65,and the night was made of.....,1,63504,173,1,1
908,28/02/64,i'm ready to explore,1,68040,168,1,1
909,30/04/71,Fast cars and fat wallets work for me!,3,58968,165,1,1
910,10/03/69,chasing a dream,1,63504,168,1,1
911,01/06/72,playful and swimy...,2,56700,173,0,1
912,29/05/70,"I don't want a diamond in the rough, I don't want one at all",3,58968,173,1,0
913,13/10/56,Safe,1,52164,163,1,1
914,18/08/64,i feel like a kid in a toy store,1,65772,168,1,0
915,08/01/63,come on baby light my fire,1,49896,163,0,1
916,17/02/70,Looking for love in all the wrong places...,1,81648,178,1,1
917,01/04/49,Reliable / easy going / fun loving,1,97524,198,1,1
918,11/10/64,Let me take control,1,56700,165,1,1
919,04/12/67,Some like it Hot... and some like it cold,1,52164,157,1,1
920,11/08/67,make love,1,58968,165,1,1
921,14/05/58,wanna play with fire.....,1,54432,165,1,1
922,28/05/61,ready to put a spell on you,1,54432,163,1,1
923,03/10/56,Can everyday be Valentines Day?,1,88452,178,1,1
924,10/05/56,"coffee, tea or.....???",1,83916,188,1,1
925,29/07/77,I'm the keymaster are you the gatekeeper,1,86184,168,1,1
926,21/05/72,You want what I want. So let's get it on!,4,72576,173,1,1
927,10/08/80,i'm up for anything...,1,65772,173,1,0
928,22/08/54,A little sun a little food and a little when ever you want,1,106596,183,1,1
929,24/04/71,"attractive, creative 30 year old",1,81648,178,1,0
931,10/06/70,Looking for erotic women:),1,81648,173,1,0
932,16/04/69,very funny down to earth guy,1,83916,173,1,1
933,04/05/73,Austrailan loves to pleasure,1,77112,188,1,1
934,20/11/68,lookin'for fun,1,72576,173,1,1
935,09/03/62,Looking For You!,1,77112,178,1,0
936,26/10/67,married but not dead,1,68040,173,0,0
937,17/04/67,Looking for wild and adventurous ladies,8,102060,168,1,1
938,25/01/74,TD&H male looking for new friend,1,72576,188,1,1
939,03/03/76,hi there!,1,72576,178,0,0
940,20/12/75,I cant believe Im doing this.,1,56700,168,1,1
941,23/05/69,Attractive Young Gent Seeks Lady With Sense of Humour!,8,68040,178,1,1
942,19/09/63,have you seen the movie 9 1/2 weeks?,1,58968,173,1,0
943,01/05/58,Looking for intimate with someone,6,65772,168,1,1
944,01/12/76,"Attractive,Sexy, and in excellent shape",1,70308,173,1,0
945,17/05/69,Not having a fun time yet,1,115668,183,1,1
946,07/03/75,i want a hot and naughty girl,4,79380,178,1,0
947,05/08/56,Hello Ladies,1,79380,173,0,0
948,03/05/56,Just Being Adventurous,1,74844,178,1,1
949,01/03/66,TLC WAITING FOR YOU,1,81648,178,1,1
950,16/04/63,Heart of Gold,1,72576,173,1,0
951,01/01/72,very curious,1,81648,188,1,1
952,19/06/65,hi my names johnny :],1,90720,188,1,0
953,19/09/64,looking for the gerrrrrr in swinger baby.,1,88452,178,1,1
954,10/03/66,Do You Like Pinicolada's,8,65772,178,1,0
955,01/04/83,18 San Antonio tired of girls wants real a woman,1,90720,178,1,1
956,25/11/70,"3 ingredients of a long healthy life: fun, fun and more fun!!!!",2,74844,173,1,1
957,03/04/76,Always up for a good time with an intelligent female,1,58968,173,1,1
960,11/06/58,"I'm happy, your happy.  Now for something completely different",8,90720,188,1,1
961,29/12/64,looking for female partner,3,79380,173,0,0
962,15/06/62,Love to make your beauty extatic,1,81648,183,0,1
963,11/04/63,If you are willing to learn call the professor!?,1,86184,183,1,1
964,04/05/82,Young Gentleman,1,86184,188,1,0
